created:2023-01-29 11:52:48 UTC
ephemeris_start:2023-01-29 11:24:42 UTC ephemeris_stop:2023-02-01 11:24:42 UTC step_size:60
ephemeris_source:blend
UVW
2023029112442.000 -282.8018865160 -4705.6014055155 5063.7883936101 6.8542308795 2.1953932525 2.4167312158
4.8724090594e-07 -3.9121490089e-07 7.7417944246e-07 -2.7721294777e-11 -1.6910991667e-10 1.2503020968e-06 8.3986829910e-10
-9.0515955533e-10 1.1614645791e-12 1.9536390893e-12 -4.6910998218e-10 4.0675391717e-10 -1.6424096054e-12 -8.2122500477e-13
4.9978489830e-13 -1.9286470854e-13 4.1461015791e-13 1.6858059694e-09 2.3805823011e-16 -1.9336412371e-15 5.4391512660e-12
2023029112542.000 128.7670929282 -4563.8044858328 5197.7152626951 6.8597862372 2.5294604920 2.0458885379
5.3811464327e-07 -4.5865631866e-07 8.8289377183e-07 -4.3382978331e-12 -3.0679303599e-10 1.4662020071e-06 9.4051277037e-10
-1.0480484031e-09 1.4762907261e-12 2.1685961251e-12 -5.2003084773e-10 4.7524324178e-10 -2.0030456177e-12 -9.2260535538e-13
5.5078057154e-13 1.9221038392e-14 1.2074098119e-14 1.9076004579e-09 9.1345335575e-16 -2.5011802753e-15 5.2086681750e-12
2023029112642.000 539.7794807208 -4402.2853529362 5309.1183196099 6.8356943916 2.8525684157 1.6662114301
5.9210981863e-07 -5.3409034948e-07 1.0097163140e-06 3.7061308543e-11 -5.0665540741e-10 1.7068767301e-06 1.0486153013e-09
-1.2096433551e-09 1.8948499420e-12 2.3997620234e-12 -5.7420033060e-10 5.5187846451e-10 -2.4219213654e-12 -1.0317725259e-12
6.0516186303e-13 2.6151085827e-13 -4.6935224652e-13 2.0981707218e-09 1.6829385310e-15 -3.0581457751e-15 4.9484291950e-12
2023029112742.000 948.4594740376 -4221.7433710566 5397.5167427631 6.7820649610 3.1633261883 1.2793426484
6.4904266675e-07 -6.1781167991e-07 1.1567196545e-06 9.9329948717e-11 -7.7843808940e-10 1.9683803644e-06 1.1641214882e-09
-1.3915319697e-09 2.4281665402e-12 2.6482635643e-12 -6.3144166622e-10 6.3698061723e-10 -2.8941050469e-12 -1.1486844536e-12
6.6276792420e-13 5.3157747296e-13 -1.0239907664e-12 2.2542292479e-09 2.5312973948e-15 -3.5932096705e-15 4.6631776544e-12
2023029112842.000 1353.0411638737 -4022.9599829071 5462.5290225091 6.6991339941 3.4603973499 0.8869539161
7.0868994714e-07 -7.1005248623e-07 1.3260417518e-06 1.8558332740e-10 -1.1306366939e-09 2.2464022944e-06 1.2869379468e-09
-1.5953153959e-09 3.0860581613e-12 2.9152366472e-12 -6.9153066273e-10 7.3078777150e-10 -3.4134332440e-12 -1.2732266292e-12
7.2337489259e-13 8.2719123806e-13 -1.6441338739e-12 2.3730795937e-09 3.4404907088e-15 -4.0945606131e-15 4.3580926138e-12
2023029112942.000 1751.7766441131 -3806.7950158022 5503.8746771982 6.5872616394 3.7425043569 0.4907390474
7.7078753755e-07 -8.1096633165e-07 1.5198704505e-06 2.9867297576e-10 -1.5703278622e-09 2.5363477045e-06 1.4169134811e-09
-1.8225953060e-09 3.8749089837e-12 3.2018041439e-12 -7.5419891655e-10 8.3345842876e-10 -3.9720969955e-12 -1.4052281495e-12
7.8671349323e-13 1.1444984156e-12 -2.3194297022e-12 2.4526683736e-09 4.3888178169e-15 -4.5513590671e-15 4.0386923464e-12
2023029113042.000 2142.9433307643 -3574.1830670137 5521.3753875779 6.4469318387 4.0084334578 0.0924084802
8.3503519944e-07 -9.2062161233e-07 1.7404217334e-06 4.4110689008e-10 -2.1028395329e-09 2.8334157024e-06 1.5538387099e-09
-2.0749610053e-09 4.7975799598e-12 3.5090709396e-12 -8.1913774129e-10 9.4505975399e-10 -4.5609573999e-12 -1.5444537855e-12
8.5246987469e-13 1.4783097833e-12 -3.0370312502e-12 2.4916192925e-09 5.3516519219e-15 -4.9536583362e-15 3.7107410031e-12
2023029113142.000 2524.8513618717 -3326.1294789333 5514.9557482941 6.2787507172 4.2570412137 -0.3063193410
9.0110113913e-07 -1.0389948202e-06 1.9899165602e-06 6.1488378651e-10 -2.7315106944e-09 3.1326821050e-06 1.6974435272e-09
-2.3539752139e-09 5.8530750843e-12 3.8381153438e-12 -8.8600269274e-10 1.0655594797e-09 -5.1698140797e-12 -1.6906004470e-12
9.2029009995e-13 1.8221005591e-12 -3.7817042840e-12 2.4892567432e-09 6.3019846082e-15 -5.2926145858e-15 3.3801498237e-12
2023029113242.000 2895.8507846711 -3063.7059851007 5484.6435012579 6.0834417622 4.4872584440 -0.7037254618
9.6862711346e-07 -1.1659651271e-06 2.2705560034e-06 8.2137099274e-10 -3.4574480201e-09 3.4291843407e-06 1.8473952875e-09
-2.6611589558e-09 7.0364217795e-12 4.1899799152e-12 -9.5441870069e-10 1.1948191073e-09 -5.7876370095e-12 -1.8432943460e-12
9.8978530751e-13 2.1680990323e-12 -4.5359155365e-12 2.4456174471e-09 7.2111009032e-15 -5.5605529377e-15 3.0528758966e-12
2023029113342.000 3254.3385169598 -2788.0461634843 5430.5694291068 5.8618437053 4.6980936575 -1.0980950769
1.0372340092e-06 -1.3013104233e-06 2.5844950099e-06 1.0612600256e-09 -4.2792950638e-09 3.7180070216e-06 2.0032978098e-09
-2.9979757271e-09 8.3388211551e-12 4.5656618290e-12 -1.0239857270e-09 1.3325885342e-09 -6.4028184581e-12 -2.0020889615e-12
1.0605374510e-12 2.5074713056e-12 -5.2799598753e-12 2.3614499429e-09 8.0493731195e-15 -5.7510218739e-15 2.7348201306e-12
2023029113442.000 3598.7652139481 -2500.3406159339 5352.9668929463 5.6149084045 4.8886383621 -1.4877252321
1.1065277527e-06 -1.4447048851e-06 2.9338152120e-06 1.3344942824e-09 -5.1931656120e-09 3.9943667243e-06 2.1646911705e-09
-3.3658151427e-09 9.7478157636e-12 4.9661027851e-12 -1.0942848846e-09 1.4785023271e-09 -7.0035946530e-12 -2.1664639608e-12
1.1321056342e-12 2.8304988286e-12 -5.9922813281e-12 2.2382019366e-09 8.7869576433e-15 -5.8590289663e-15 2.4317261359e-12
2023029113542.000 3927.6419158004 -2201.8318739534 5252.1708638719 5.3436960306 5.0580704479 -1.8709330251
1.1761054506e-06 -1.5957181434e-06 3.3204971909e-06 1.6401142747e-09 -6.1927412680e-09 4.2536945329e-06 2.3310523366e-09
-3.7659762601e-09 1.1247354687e-11 5.3921785821e-12 -1.1648849155e-09 1.6320777548e-09 -7.5785175805e-12 -2.3358251155e-12
1.2040329356e-12 3.1267203439e-12 -6.6498839849e-12 2.0779957141e-09 9.3943316957e-15 -5.8812403496e-15 2.1490816823e-12
2023029113642.000 4239.5464305785 -1893.8091240051 5128.6165291303 5.0493713102 5.2056570538 -2.2460618732
1.2455616783e-06 -1.7538161079e-06 3.7463925948e-06 1.9761349613e-09 -7.2693772627e-09 4.4917149338e-06 2.5017967060e-09
-4.1996508093e-09 1.2818005337e-11 5.8446885469e-12 -1.2353489205e-09 1.7927146404e-09 -8.1167894226e-12 -2.5095052692e-12
